[GIN] 2024/03/18 - 09:14:45 | 200 | 1.15516ms | 127.0.0.1 | POST "/logs/cdfecb8f-d2b4-4452-bdd7-9b3e956fd5cb"
[GIN] 2024/03/18 - 09:14:46 | 200 | 1.378798ms | 127.0.0.1 | POST "/logs/cdfecb8f-d2b4-4452-bdd7-9b3e956fd5cb"
[GIN] 2024/03/18 - 09:14:50 | 200 | 1.031551ms | 127.0.0.1 | POST "/logs/cdfecb8f-d2b4-4452-bdd7-9b3e956fd5cb"
[GIN] 2024/03/18 - 09:14:51 | 200 | 1.005221ms | 127.0.0.1 | POST "/logs/cdfecb8f-d2b4-4452-bdd7-9b3e956fd5cb"
[GIN] 2024/03/18 - 09:14:52 | 200 | 1.269544ms | 127.0.0.1 | POST "/logs/cdfecb8f-d2b4-4452-bdd7-9b3e956fd5cb"
[GIN] 2024/03/18 - 09:14:53 | 200 | 1.421276ms | 127.0.0.1 | POST "/logs/cdfecb8f-d2b4-4452-bdd7-9b3e956fd5cb"
[GIN] 2024/03/18 - 09:14:54 | 200 | 1.208315ms | 127.0.0.1 | POST "/logs/cdfecb8f-d2b4-4452-bdd7-9b3e956fd5cb"
[GIN] 2024/03/18 - 09:14:55 | 200 | 1.174769ms | 127.0.0.1 | POST "/logs/cdfecb8f-d2b4-4452-bdd7-9b3e956fd5cb"
[GIN-test] 2024/03/18 - 09:14:56 | 200 | 1.311218ms | 127.0.0.1 | POST "/logs/cdfecb8f-d2b4-4452-bdd7-9b3e956fd5cb"
[GIN] 2024/03/18 - 09:14:45 | 200 | 1.15516ms | 127.0.0.1 | POST "/logs/cdfecb8f-d2b4-4452-bdd7-9b3e956fd5cb"
[GIN] 2024/03/18 - 09:14:46 | 200 | 1.378798ms | 127.0.0.1 | POST "/logs/cdfecb8f-d2b4-4452-bdd7-9b3e956fd5cb"
[GIN] 2024/03/18 - 09:14:50 | 200 | 1.031551ms | 127.0.0.1 | POST "/logs/cdfecb8f-d2b4-4452-bdd7-9b3e956fd5cb"
[GIN] 2024/03/18 - 09:14:51 | 200 | 1.005221ms | 127.0.0.1 | POST "/logs/cdfecb8f-d2b4-4452-bdd7-9b3e956fd5cb"
[GIN] 2024/03/18 - 09:14:52 | 200 | 1.269544ms | 127.0.0.1 | POST "/logs/cdfecb8f-d2b4-4452-bdd7-9b3e956fd5cb"
[GIN] 2024/03/18 - 09:14:53 | 200 | 1.421276ms | 127.0.0.1 | POST "/logs/cdfecb8f-d2b4-4452-bdd7-9b3e956fd5cb"
[GIN] 2024/03/18 - 09:14:54 | 200 | 1.208315ms | 127.0.0.1 | POST "/logs/cdfecb8f-d2b4-4452-bdd7-9b3e956fd5cb"
[GIN-test] 2024/03/18 - 09:14:56 | 200 | 1.311218ms | 127.0.0.1 | POST "/logs/cdfecb8f-d2b4-4452-bdd7-9b3e956fd5cb"
[GIN] 2024/03/18 - 09:14:50 | 200 | 1.031551ms | 127.0.0.1 | POST "/logs/cdfecb8f-d2b4-4452-bdd7-9b3e956fd5cb"
[GIN] 2024/03/18 - 09:14:51 | 200 | 1.005221ms | 127.0.0.1 | POST "/logs/cdfecb8f-d2b4-4452-bdd7-9b3e956fd5cb"
[GIN] 2024/03/18 - 09:14:52 | 200 | 1.269544ms | 127.0.0.1 | POST "/logs/cdfecb8f-d2b4-4452-bdd7-9b3e956fd5cb"
[GIN] 2024/03/18 - 09:14:53 | 200 | 1.421276ms | 127.0.0.1 | POST "/logs/cdfecb8f-d2b4-4452-bdd7-9b3e956fd5cb"
[GIN] 2024/03/18 - 09:14:54 | 200 | 1.208315ms | 127.0.0.1 | POST "/logs/cdfecb8f-d2b4-4452-bdd7-9b3e956fd5cb"
[GIN-test] 2024/03/18 - 09:14:56 | 200 | 1.311218ms | 127.0.0.1 | POST "/logs/cdfecb8f-d2b4-4452-bdd7-9b3e956fd5cb"
